Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
299,-31.763359,-129.969466,0.862595,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
1255,-130.045802,-31.763359,-130.931298,-0.253967,-1.043945,-0.253967,0.00,0.00,0.00
2154,-31.763359,-130.931298,60.580153,-0.253967,-1.039307,-0.959229,0.00,0.00,0.00
2247,-125.580153,156.335878,60.580153,-0.253967,-1.035034,-1.797913,0.00,0.00,0.00
2377,-31.763359,-129.106870,-125.580153,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
2674,56.541985,-125.580153,156.335878,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
3005,-31.763359,-129.106870,-125.580153,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
3164,16.030534,-31.763359,-129.984733,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
3171,-31.763359,-130.687023,0.687023,-0.253967,-1.039307,-0.944092,0.00,0.00,0.00
3327,-125.580153,173.793893,-125.580153,1.766235,0.562927,1.139587,0.00,0.00,0.00
3333,-125.580153,-31.763359,-130.198473,0.017090,-0.253967,-1.032288,0.00,0.00,0.00
3847,-129.984733,-31.763359,-130.900763,-0.253967,-1.046875,-0.253967,0.00,0.00,0.00
4114,103.442748,-125.580153,234.511450,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
4851,-125.580153,226.709924,13.679389,-0.253967,-1.035034,-1.922913,0.00,0.00,0.00
4934,-31.763359,-129.106870,-125.580153,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
5544,-125.580153,0.007634,185.648855,-0.253967,-1.035034,-1.610413,0.00,0.00,0.00
5785,-129.106870,-125.580153,0.488550,-0.253967,-1.042480,-0.253967,0.00,0.00,0.00
5786,-31.763359,-129.984733,0.061069,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
5787,-31.763359,-130.687023,0.122137,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
5788,-31.763359,-130.320611,0.916031,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
5789,-130.778626,1.824427,-125.580153,-0.253967,-1.041992,-0.253967,0.00,0.00,0.00
5791,-130.076336,1.824427,-125.580153,-0.253967,-1.044678,-0.253967,0.00,0.00,0.00
5793,-130.687023,3.778626,-125.580153,-0.253967,-1.043457,-0.253967,0.00,0.00,0.00
5921,-130.488550,-31.763359,-130.465649,-0.253967,-1.046204,-0.253967,0.00,0.00,0.00
6064,-31.763359,-130.290076,0.938931,0.030212,-1.004089,-0.959229,0.00,0.00,0.00
6102,-129.106870,-125.580153,7.923664,0.030212,-1.004089,-0.253967,0.00,0.00,0.00
6568,-125.580153,-31.763359,-130.748092,0.132080,-0.253967,-1.032288,0.00,0.00,0.00
6667,-31.763359,-130.534351,0.916031,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
6776,11.847328,-31.763359,-130.259542,-0.429199,-1.001038,-1.004089,0.00,0.00,0.00
7396,-125.580153,158.160305,-125.580153,0.155212,-1.004089,0.514587,0.00,0.00,0.00
7420,-130.015267,-31.763359,-130.916031,-0.253967,-1.041016,-0.253967,0.00,0.00,0.00
7518,-114.045802,-31.763359,-130.778626,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
7560,-31.763359,-129.106870,-125.580153,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
7584,-31.763359,-129.106870,-125.580153,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
8729,109.473282,-31.763359,-130.893130,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
9263,-31.763359,-129.106870,-125.580153,-0.253967,-1.039246,0.234741,0.00,0.00,0.00
9286,-31.763359,-130.351145,43.450382,0.030212,-1.004089,-0.882080,0.00,0.00,0.00
9362,-130.687023,-31.763359,-130.687023,-0.253967,-1.043457,-0.253967,0.00,0.00,0.00
9363,-130.106870,-31.763359,-129.984733,-0.253967,-1.045898,-0.253967,0.00,0.00,0.00
9364,-31.763359,-129.106870,-125.580153,-0.253967,-1.042236,-0.942139,0.00,0.00,0.00
9365,-31.763359,-129.106870,-125.580153,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
10402,-31.763359,-130.778626,4.435115,0.034424,-0.253967,-1.045410,0.00,0.00,0.00
10608,-130.198473,-31.763359,-130.167939,0.130127,-0.943359,-0.253967,0.00,0.00,0.00
10727,-125.580153,-31.763359,-130.854962,-0.253967,-1.034851,-1.610413,0.00,0.00,0.00
11198,-130.519084,-31.763359,-130.557252,0.014587,-1.004089,-0.253967,0.00,0.00,0.00
11272,0.145038,0.603053,0.465649,0.022705,1.702087,-1.004089,0.00,0.00,0.00
11299,-31.763359,-129.106870,-125.580153,-0.253967,-1.032288,-1.004089,0.00,0.00,0.00
11326,0.641221,0.625954,0.969466,0.021729,1.827087,-1.004089,0.00,0.00,0.00
